$GNGGA,UTC,Latitude,Direction_of_latitude,Longitude,Direction_of_longitude,GPS_Quality,Number_of_S,HDOP,altitude,Meters,Geoid_separation,Meters,Age_of_differential,checksum,$GNGST,UTC,RMS,semi-major,semi-minor,error_orientation,Lat_sigma_error,Long_sigma_error,Height_sigma_error,checksum,
$GNGGA,140148.4,3004.231563,N,3101.286505,E,5,13,0.7,76.734,M,15.52,M,0.8,*65,$GNGST,140148.4,1.952,,,,0.053,0.038,0.073,*6D,
$GNGGA,140148.6,3004.231566,N,3101.286508,E,5,13,0.7,76.72,M,15.52,M,1,*65,$GNGST,140148.6,1.949,,,,0.053,0.037,0.072,*6B,
$GNGGA,140148.8,3004.231566,N,3101.286509,E,5,13,0.7,76.714,M,15.52,M,1.2,*6D,$GNGST,140148.8,1.94,,,,0.053,0.037,0.072,*6C,
$GNGGA,140149,3004.231568,N,3101.286511,E,5,13,0.7,76.713,M,15.52,M,1.4,*6E,$GNGST,140149,1.947,,,,0.053,0.037,0.071,*61,
$GNGGA,140149.2,3004.231576,N,3101.286498,E,5,13,0.7,76.698,M,15.52,M,0.6,*68,$GNGST,140149.2,1.756,,,,0.052,0.037,0.071,*6C,
$GNGGA,140149.4,3004.231574,N,3101.286502,E,5,13,0.7,76.7,M,15.52,M,0.8,*6E,$GNGST,140149.4,1.702,,,,0.052,0.037,0.071,*6B,
$GNGGA,140149.6,3004.231574,N,3101.286502,E,5,13,0.7,76.698,M,15.52,M,1,*60,$GNGST,140149.6,1.751,,,,0.052,0.037,0.071,*6F,
$GNGGA,140149.8,3004.231575,N,3101.286504,E,5,13,0.7,76.698,M,15.52,M,1.2,*65,$GNGST,140149.8,1.756,,,,0.052,0.037,0.07,*67,
$GNGGA,140150,3004.231577,N,3101.2865,E,5,13,0.7,76.694,M,15.52,M,1.4,*6E,$GNGST,140150,1.725,,,,0.052,0.037,0.07,*63,
$GNGGA,140150.2,3004.231579,N,3101.286503,E,5,13,0.7,76.684,M,15.52,M,1.6,*67,$GNGST,140150.2,1.71,,,,0.052,0.037,0.07,*67,
$GNGGA,140150.4,3004.231579,N,3101.286502,E,5,13,0.7,76.687,M,15.52,M,1.8,*6B,$GNGST,140150.4,1.691,,,,0.052,0.037,0.07,*69,
$GNGGA,140150.6,3004.231579,N,3101.286501,E,5,13,0.7,76.685,M,15.52,M,1,*64,$GNGST,140150.6,1.687,,,,0.052,0.037,0.07,*6C,
$GNGGA,140150.8,3004.231578,N,3101.286504,E,5,13,0.7,76.684,M,15.52,M,1.2,*67,$GNGST,140150.8,1.737,,,,0.052,0.037,0.07,*68,
$GNGGA,140151,3004.231581,N,3101.286504,E,5,13,0.7,76.679,M,15.52,M,1.4,*61,$GNGST,140151,1.759,,,,0.052,0.036,0.069,*60,
$GNGGA,140151.2,3004.231581,N,3101.286505,E,5,13,0.7,76.677,M,15.52,M,1.6,*6D,$GNGST,140151.2,1.782,,,,0.052,0.036,0.069,*64,
$GNGGA,140151.4,3004.231583,N,3101.286506,E,5,13,0.7,76.678,M,15.52,M,0.8,*67,$GNGST,140151.4,1.805,,,,0.052,0.036,0.069,*62,
$GNGGA,140151.6,3004.231582,N,3101.286506,E,5,13,0.7,76.687,M,15.52,M,1,*65,$GNGST,140151.6,1.853,,,,0.052,0.036,0.069,*63,
$GNGGA,140151.8,3004.231584,N,3101.286506,E,5,13,0.7,76.683,M,15.52,M,1.2,*68,$GNGST,140151.8,1.838,,,,0.052,0.036,0.069,*60,
$GNGGA,140152,3004.231586,N,3101.286508,E,5,13,0.7,76.67,M,15.52,M,1.4,*62,$GNGST,140152,1.826,,,,0.052,0.036,0.069,*64,
$GNGGA,140152.2,3004.231588,N,3101.286507,E,5,13,0.7,76.669,M,15.52,M,1.6,*62,$GNGST,140152.2,1.866,,,,0.051,0.036,0.069,*61,
$GNGGA,140152.4,3004.231587,N,3101.286509,E,5,13,0.7,76.675,M,15.52,M,1.8,*68,$GNGST,140152.4,1.915,,,,0.051,0.036,0.069,*62,
$GNGGA,140152.6,3004.231589,N,3101.286508,E,5,13,0.7,76.675,M,15.52,M,1,*66,$GNGST,140152.6,2.08,,,,0.051,0.036,0.068,*67,
$GNGGA,140152.8,3004.23159,N,3101.286511,E,5,13,0.7,76.665,M,15.52,M,1.2,*6D,$GNGST,140152.8,2.067,,,,0.051,0.036,0.068,*60,
$GNGGA,140153,3004.231591,N,3101.286511,E,5,12,0.7,76.648,M,15.52,M,0.4,*69,$GNGST,140153,2.2,,,,0.051,0.036,0.068,*6A,
$GNGGA,140153.2,3004.231591,N,3101.286512,E,5,12,0.7,76.648,M,15.52,M,0.6,*6C,$GNGST,140153.2,2.169,,,,0.051,0.036,0.068,*64,
$GNGGA,140153.4,3004.231593,N,3101.286513,E,5,12,0.7,76.638,M,15.52,M,0.8,*6B,$GNGST,140153.4,2.182,,,,0.051,0.036,0.068,*67,
$GNGGA,140153.6,3004.231594,N,3101.286515,E,5,12,0.7,76.63,M,15.52,M,1,*6D,$GNGST,140153.6,2.163,,,,0.051,0.036,0.068,*6A,
$GNGGA,140153.8,3004.231594,N,3101.286515,E,5,12,0.7,76.632,M,15.52,M,1.2,*68,$GNGST,140153.8,2.199,,,,0.051,0.035,0.067,*6D,
$GNGGA,140154,3004.231594,N,3101.286516,E,5,12,0.7,76.634,M,15.52,M,1.4,*64,$GNGST,140154,2.217,,,,0.051,0.035,0.067,*67,
$GNGGA,140154.2,3004.231595,N,3101.286518,E,5,12,0.7,76.635,M,15.52,M,0.6,*61,$GNGST,140154.2,2.201,,,,0.051,0.035,0.067,*62,
$GNGGA,140154.4,3004.231595,N,3101.28652,E,5,12,0.7,76.626,M,15.52,M,0.8,*68,$GNGST,140154.4,2.239,,,,0.051,0.035,0.067,*6F,
